"","title","point","review"
"1","분노의 질주: 홉스&쇼","10","분노의 질주: 홉스&쇼ㅋㅋ 시원한 오락영화 너무 좋았습니다 "
"2","분노의 질주: 홉스&쇼","10","분노의 질주: 홉스&쇼액션폭발 미침 !! 넘 멋진 두주인공>< "
"3","엑시트","2","엑시트이게 왜 아직도 9점이지 알바 오지게 풀었네 "
"4","분노의 질주: 홉스&쇼","10","분노의 질주: 홉스&쇼간만에 화끈한 액션! 구강액션은 덤! "
"5","사랑의 선물","10","사랑의 선물영화를 볼 상영관을 늘려주세요. "
"6","분노의 질주: 홉스&쇼","10","분노의 질주: 홉스&쇼생각보다 너무 재밌던뎅ㅋㅋㅋㅋ "
"7","분노의 질주: 홉스&쇼","10","분노의 질주: 홉스&쇼빡빡이 너네 언제 또 뭉칠거야!!! 빨리 나와라!!! "
"8","엑시트","1","엑시트얼바생들인가.. 오글거리고 진짜 스토리도 빈약하고 겨우 연기 쬐금으로 무마한듯 "
"9","분노의 질주: 홉스&쇼","10","분노의 질주: 홉스&쇼영화 보는중에 너무 웃겼어영 "
"10","분노의 질주: 홉스&쇼","1","분노의 질주: 홉스&쇼이번엘 얼마나 질주하나 보러왔는데 질주는 무슨 주먹구구 싸움 ㅋㅋ "
