"","title","point","review"
"1","분노의 질주: 홉스&쇼","10","분노의 질주: 홉스&쇼남주여주 다 매력터짐 ㅋㅋ "
"2","브링 더 소울 : 더 무비","10","브링 더 소울 : 더 무비똥 싸지마! ㅋㅋㅋ 내 머리에 똥 쌌어 "
"3","봉오동 전투","10","봉오동 전투광복절에 봐서 더 뜻깊은 영화,,대한 독립 만세 "
"4","분노의 질주: 홉스&쇼","10","분노의 질주: 홉스&쇼최근 나온 영화중에 오래간만에 재밌게 봤네용 ㅎㅎㅎㅎ "
"5","분노의 질주: 홉스&쇼","10","분노의 질주: 홉스&쇼액션이 화려하고.. 재밌어요ㅋㅋㅋ 꿀잼 "
"6","봉오동 전투","1","봉오동 전투역겨운 한국영화 평점알바들 "
"7","분노의 질주: 홉스&쇼","10","분노의 질주: 홉스&쇼쿠키영상도 있으니까 꼭 끝까지 보고 나오세요! "
"8","백설공주와 일곱 난쟁이","10","백설공주와 일곱 난쟁이따뜻한 작화와 러블리한 캐릭터들 덕분에 볼 때마다 기분이 좋아지는 최고의 영화! "
"9","어린 처형 2","10","어린 처형 2새로운 얼굴이 두 명씩이나 ~~ "
"10","엑시트","1","엑시트평점알바 들끓는 역겨운 한국영화 "
"11","분노의 질주: 홉스&쇼","10","분노의 질주: 홉스&쇼최고 내스타일임 ㅎㅎ 몰입도 좋습니다 "
"12","분노의 질주: 홉스&쇼","6","분노의 질주: 홉스&쇼쓰잘때기없는 말장난, 드립이 너무 많다. 왕좌의게임 엔딩 드립칠때 알아듣는사람 몇명이나될까? 5프로나될까? "
"13","나랏말싸미","1","나랏말싸미역사를 이런식으로... "
"14","월드 트레이드 센터","10","월드 트레이드 센터평점이 왜 저모양이야... ㅜㅜ "
"15","봉오동 전투","10","봉오동 전투뭔가 암살 초반에 전지현이 일본군이랑 붙은장면을 영화한느낌인데 여태 봉오동전투 하면 홍범도 장군님만 알았는데 수많은 독립군들의 희생으로 승리한 전쟁인걸 깨닫게해주는 영화 "
"16","눈길","1","눈길아니 말이 되냐. 그 소녀들이 거기 끌려가서 얼마나 무서웠겠냐고. 근데 성병이 낫지 않아서 일본군한테 끌려가는데 친구들한테 웃으면서 손장난?? 이렇게 밝은 소녀가 스러졌다.. 라는 걸 말하고 싶은건가??? 연출 도무지 이해할 수가 없다 "
"17","분노의 질주: 홉스&쇼","10","분노의 질주: 홉스&쇼올해 여태까지 본 영화들 중에서 제일 재밌다 "
"18","암전","1","암전공포영화인데 무서운것도 애매, 그렇다고 몰입감도 없어 스토리는 산으로 가고..그냥 돈주고본걸 후회하게한 몇안되는 영화로 평가함 "
"19","분노의 질주: 홉스&쇼","10","분노의 질주: 홉스&쇼끝까지 웃겨주고 깔끔히 끝내는 센스!!! "
"20","번 더 스테이지: 더 무비","10","번 더 스테이지: 더 무비너무 재미있을거 같아요역시 방탄♡♡♡♡ "
"21","분노의 질주: 홉스&쇼","1","분노의 질주: 홉스&쇼알바 너무 썼다...아이디만 봐도 딱 알바 패턴이 보이는데? "
"22","분노의 질주: 홉스&쇼","10","분노의 질주: 홉스&쇼뻔하지만 재밌는 영화 ㅋㅋ 액션 오락 무비로 딱이다 "
"23","애나벨 집으로","6","애나벨 집으로킬탐 ㄱㅊ했음.... "
"24","분노의 질주: 홉스&쇼","10","분노의 질주: 홉스&쇼빈디젤 없어도 꿀잼 이네ㅋㅋ "
"25","분노의 질주: 홉스&쇼","10","분노의 질주: 홉스&쇼말이 필요없지  스케일이 나날이 커지는느낌!! "
"26","워크래프트: 전쟁의 서막","10","워크래프트: 전쟁의 서막오버워치도 영화 만들자! "
"27","분노의 질주: 홉스&쇼","10","분노의 질주: 홉스&쇼분노의질주...번외편..잘만들었음...^^~♡♡♡ "
"28","러브 유어셀프 인 서울","10","러브 유어셀프 인 서울너무 재미있을거갔아요~방탄 파이팅! "
"29","분노의 질주: 홉스&쇼","10","분노의 질주: 홉스&쇼영화 분노의질주 재밌게 보고 왔습니다 "
"30","엑시트","7","엑시트웃음을 추구한 재미있는 영화 "
"31","분노의 질주: 홉스&쇼","10","분노의 질주: 홉스&쇼액션액션 이런 액션 또 없습니다 이거보면 바로 관람 고고 "
"32","분노의 질주: 홉스&쇼","6","분노의 질주: 홉스&쇼산만하고 시끄럽고...가끔 멋진 장면도 있긴하지만.ㅈ "
"33","분노의 질주: 홉스&쇼","10","분노의 질주: 홉스&쇼웃기고 액션 연기는 정말 통쾌함ㅎㅎ "
"34","트와이스랜드","10","트와이스랜드너무 재미있을거 같아요 "
"35","봉오동 전투","7","봉오동 전투대한독립만세 대한독립만세 대한독립만세 "
"36","분노의 질주: 홉스&쇼","10","분노의 질주: 홉스&쇼역시 이런 영화는 아맥이 진리인듯 "
"37","봉오동 전투","10","봉오동 전투정말재밌습니다 시간가는줄몰랐음 "
"38","봉오동 전투","10","봉오동 전투최고입니다 인생작임에 틀림없다 "
"39","분노의 질주: 홉스&쇼","10","분노의 질주: 홉스&쇼재밌었어요! 자리도 좋았고 액션도 재밌고! "
"40","분노의 질주: 홉스&쇼","10","분노의 질주: 홉스&쇼블랙위도우 랑 한판 붙어도 지지않을 여주의액션 ....지꾸  오버랩되면서  봤는데 정말정말이지. ㅠ "
"41","분노의 질주: 홉스&쇼","10","분노의 질주: 홉스&쇼액션도 멋있고 둘의 케미도 재미있고 여주도 넘 매력적임 "
"42","봉오동 전투","10","봉오동 전투영화는 재미있었다. 다만, 독립군이라면 고난과 굶주림에 싸운 상징인데, 홍범도장군의 얼굴과배때기에 기름진 살덩이가 마치 김일성을 연상 시켰다. 영화의 디테일이 한순간에 날아간 어처구니가 없는 반전이었다. 그런 역사적 배역을 장난하는 것도 아니고.. "
"43","존 윅 3: 파라벨룸","10","존 윅 3: 파라벨룸최고의 액션. 아직도 액션에서 더 보여줄 것이 남았다는 것이 놀랍다. "
"44","분노의 질주: 홉스&쇼","7","분노의 질주: 홉스&쇼분노의 질주 마니아는 보지 마시길...그래도 가볍게 볼만한 영화입니다 "
"45","봉오동 전투","1","봉오동 전투청산리냅두고 봉오동? "
"46","분노의 질주: 홉스&쇼","10","분노의 질주: 홉스&쇼ㅋㅋ 시원한 오락영화 너무 좋았습니다 "
"47","분노의 질주: 홉스&쇼","10","분노의 질주: 홉스&쇼액션폭발 미침 !! 넘 멋진 두주인공>< "
"48","엑시트","2","엑시트이게 왜 아직도 9점이지 알바 오지게 풀었네 "
"49","분노의 질주: 홉스&쇼","10","분노의 질주: 홉스&쇼간만에 화끈한 액션! 구강액션은 덤! "
"50","사랑의 선물","10","사랑의 선물영화를 볼 상영관을 늘려주세요. "
"51","분노의 질주: 홉스&쇼","10","분노의 질주: 홉스&쇼생각보다 너무 재밌던뎅ㅋㅋㅋㅋ "
"52","분노의 질주: 홉스&쇼","10","분노의 질주: 홉스&쇼빡빡이 너네 언제 또 뭉칠거야!!! 빨리 나와라!!! "
"53","엑시트","1","엑시트얼바생들인가.. 오글거리고 진짜 스토리도 빈약하고 겨우 연기 쬐금으로 무마한듯 "
"54","분노의 질주: 홉스&쇼","10","분노의 질주: 홉스&쇼영화 보는중에 너무 웃겼어영 "
"55","분노의 질주: 홉스&쇼","1","분노의 질주: 홉스&쇼이번엘 얼마나 질주하나 보러왔는데 질주는 무슨 주먹구구 싸움 ㅋㅋ "
"56","분노의 질주: 홉스&쇼","10","분노의 질주: 홉스&쇼무조건 아맥으로 보세여 ㅋㅋㅋ "
"57","봉오동 전투","4","봉오동 전투독립군의 엄청난 노력과 그분들의 희생에 대해선 마땅히 감사해하나영화 자체로는 진부한 클리셰 범벅과 잊을만 하면 나오는 신파로 지루한건 부정할 수 없었다 "
"58","분노의 질주: 홉스&쇼","9","분노의 질주: 홉스&쇼한국탈모남은 언제나 이런 액션 찍을까? 바네사 커비는 언감생심이고.. "
"59","분노의 질주: 홉스&쇼","5","분노의 질주: 홉스&쇼액션신은 괜찮았지만,, 미션임파서블과 비슷한 영화였다고 생각되고, 개인적으로  분노의질주 초기 시리즈와 같은 카레이싱의 비중이 많지 않아. 아쉬웠던 영화. "
"60","김복동","10","김복동할머니 꼭 기억하겠습니다. 잘봤습니다. 정말 많은걸  모르고 지냈던걸 느꼈습니다.. 기억하겠습니다. "
