"","comicName","comicSummary","comicGrade"
"1","타챠노트","프리랜서일기","9.76"
"2","스윗칵테일","Self Made","9.39"
"3","아빠는 여섯 살","아빠 4컷 그림일기","9.94"
"4","봉츄자매라옹","웃기는 고양이자매","9.80"
"5","158동 진상부부","부부의 진짜 일상","9.13"
"6","나의 수상한 행성","소년 소녀와 소년","9.88"
"7","외국 in 한국","영국인의한국생활","9.86"
"8","마이데이","순정,학업로맨스","9.68"
"9","마법소년 근무일지","","9.66"
"10","엑소니클","퇴마사 이야기","9.80"
"11","충충의 하루","충충의 하루","9.60"
"12","발버둥치다","우울증 이야기","9.91"
"13","무대에 서지 않지만 배우입니다","배우 지망생 이야기","9.84"
"14","빛보다 찬란한 그대",".","9.90"
"15","홈 스윗 홈","네식구 사는 이야기","9.85"
"16","우로보로스","호러판타지 로맨스","9.28"
"17","루텔","력家네","9.90"
"18","빵뽀시래기","빵집 알바 해봤니?","9.86"
"19","1인 크리에이터","유X버 & bXj","8.86"
"20","육식 토끼","평범 콤플렉스 토끼","9.90"
"21","홍시관찰일기","아기를 싫어하던 여자가 아기를 낳았다!","9.83"
"22","사랑하는 계절","9일19일29일연재","9.60"
"23","구나의 그랬구나","어린이집 교사냥이","9.92"
"24","여긴 어디","칭다오 일상툰","9.91"
"25","ㅎㅋ고모리","은둔형 외톨이인 모리의 성장일기","9.27"
"26","나비를 찾아서","우리는 마녀다!","9.85"
"27","여우자매","여우자매,일상판타지","9.93"
"28","1시간 30분","비글과 아웃사이더","9.89"
"29","CMYK","의식의 흐름 만화","9.06"
"30","정글짐 위에 올라","우리의 초딩 시절","9.93"
"31","나의 작은 조","공룡집사의 반려인간","9.90"
"32","안녕 외교국","SF 감성 판타지","9.54"
"33","현세이의 보이는 라디오","현세이입니다!","9.90"
"34","스투피즈","새내기 생활툰","9.91"
"35","블랙펄 : 둥근 창의 세계","돈이궁한 용병이야기","9.74"
"36","루이와 졸개들 R","나만알고싶은 양아치","9.76"
"37","불편해요, 선배님!","캠퍼스 로맨스","9.93"
"38","사막화花","본격 식물 판타지","9.69"
"39","디 언더사이즈드(THE UNDERSIZED)","고등학교농구부이야기","9.60"
"40","아버지 이야기","아버지 들려주는..","9.81"
"41","백일몽화원","7,17,27일연재","9.72"
"42","이딴여행","여행포토툰","9.77"
"43","일찍 자고 일찍 일어나기","아침형 뱀파이어","9.92"
"44","우리집 강아지는 복슬강아지","댕댕이와의 일상:3","9.93"
"45","앨리스를 위하여","새로운앨리스이야기","9.86"
"46","저승 화랑전","악덕 상사와 나","9.93"
"47","츤데레","남정네 넷의 츤츤","9.87"
"48","육묘일기","고양이 일상툰","9.92"
"49","존버닥터","섬탈출까지 존버해라","9.48"
"50","그림자게임","시즌2 시작합니다.","9.88"
"51","뫼비우스의 소설","오각관계 드라마","9.78"
"52","우리는 예상치 못하게","그럴 때가 있잖아요","9.92"
"53","너를 만나다","어느날 너를 만나다","9.92"
"54","안녕, 나의 길고양이","길고양이와 공대생","9.93"
"55","오늘부터 날아!","신나는 배구","9.85"
"56","랜드라이프","상어의 육지 생활","9.90"
"57","지나온 길","그들의 추억팔이","9.61"
"58","채식주의자의 애완채소","스릴러, 리메이크중","9.86"
"59","이상과 현실","일상의 철학","9.93"
"60","나의 비거니즘 만화","비건의 일상","8.64"
"61","멋도모르는여자","일상부부툰","9.83"
"62","우리는 친한친구","친한친구 이야기","9.63"
"63","불만있어?","실화119 웹툰","9.87"
"64","애정이 필요해","불안장애 극복기","9.78"
"65","쉼터에 살았다","쉼터 생활툰","9.92"
"66","사쟈툰","사쟈를 그립니다.","8.84"
"67","만화 임진왜란","쉽게 보는 임진왜란","9.79"
"68","아이고아이고","삶과 죽음의 이야기","8.61"
"69","숲","사연을 그리는 만화","9.92"
"70","인더하우스","동거 로맨스","9.85"
"71","헛어른","어른이라고 하기엔 아직 부족한 것 같고, 마냥 젊다고 하기엔 어느덧 적지 않은 나이. 그래서 때론 당황스럽기도 하고 서툴기도 한 우리들. ‘헛어른’은 그런 우리들의 이야기입니다.","9.85"
"72","무엇이든 그려드립니닷!","무엇이든그려드립니닷","9.90"
"73","같이 꽃길 걸을까요?","군화곰신커플 일상툰","9.65"
"74","런어웨이","초능력 소녀,그의 소유물이 되다","9.80"
"75","천진난만 하루","천진이의 일상이야기","9.93"
"76","마물전담부대","마물을 사냥하는부대","9.90"
"77","판타지 TV","판타지의 인터넷방송","9.72"
"78","윤이나는남자","여자같은 남자","9.38"
"79","로단테","판타지 활극 드라마","9.85"
"80","오묘한 가족","오묘한가족의 이야기","9.88"
"81","Jun과 나","실화에서 시작된 예대속 색있는 사람들의 색있는 이야기.","9.89"
"82","내 열정은 최고조!","한남자의 청춘속 열정적인 일상 에피소드","9.57"
"83","엑스트라 Z씨","Z씨의 발버둥","9.94"
"84","기행 공포단편집","공포만화 단편선","9.91"
"85","광해와 이순신","광해와 이순신","9.74"
"86","은룡여린설","신과 인간의 이야기","9.90"
"87","미용사 : LOST HERO","전직용사현직미용사!","9.78"
"88","마이툰","두딸키우는 아재일상","9.67"
"89","유진의 환상특급열차","유진의 여행기","9.91"
"90","윈터하츠","연금술사들의 이야기","9.93"
"91","서유기 : 손오공의 모험","손오공의 서천여행기","9.57"
"92","목소리의 그늘","훈남 전문 성우들!","9.80"
"93","지극히 평범한 생활","말만 평범한 일상툰","9.91"
"94","좋은개 나쁜개 이상한개 그리고 고양이","강아지 사회화 교육","9.73"
"95","쓰레기 머학생","답없는 대학생 일상","9.86"
"96","원인탐구생활: 아리보리","육묘일기","9.90"
"97","공대생툰","공대생의 일상","9.78"
"98","산군대잔치","산군의 일상툰","9.93"
"99","웰시네 부부에세이","삶 고찰 그림에세이","9.59"
